,x,y,w,h,frame_id
0,3787,255,53,33,122
1,3761,253,79,38,123
2,3764,292,76,48,123
3,3736,255,104,36,124
4,3735,294,105,46,124
5,3706,256,126,38,125
6,3708,294,132,44,125
7,3680,256,124,38,126
8,3676,295,164,44,126
9,3651,259,189,81,127
10,3624,260,125,37,128
11,3625,298,190,42,128
12,3595,261,126,39,129
13,3596,299,192,35,129
14,3568,264,128,37,130
15,3640,300,121,32,130
16,3568,303,86,32,130
17,3772,243,68,45,131
18,3542,263,123,41,131
19,3768,293,72,46,131
20,3542,301,186,35,131
21,3744,246,96,43,132
22,3514,264,125,40,132
23,3740,295,100,45,132
24,3516,299,185,38,132
25,3716,248,124,42,133
26,3490,266,128,41,133
27,3785,293,55,46,133
28,3713,296,100,32,133
29,3488,304,188,34,133
30,3688,250,131,41,134
31,3464,266,125,39,134
32,3689,295,151,45,134
33,3462,305,189,33,134
34,3660,251,135,42,135
35,3438,269,129,35,135
36,3658,295,182,45,135
37,3434,306,184,33,135
38,3632,255,131,39,136
39,3412,270,124,36,136
40,3713,297,127,43,136
41,3635,300,89,32,136
42,3407,307,184,33,136
43,3605,256,132,42,137
44,3388,269,120,38,137
45,3706,298,93,42,137
46,3604,301,109,32,137
47,3355,308,209,33,137
48,3786,245,54,42,138
49,3578,257,132,42,138
50,3361,271,120,39,138
51,3785,293,55,46,138
52,3572,302,96,32,138
53,3350,309,188,33,138
54,3756,244,84,46,139
55,3552,258,131,43,139
56,3339,272,116,39,139
57,3760,293,80,47,139
58,3653,300,92,31,139
59,3546,303,79,31,139
60,3332,311,181,32,139
61,3728,246,112,46,140
62,3522,261,139,42,140
63,3315,272,115,37,140
64,3732,294,108,46,140
65,3521,305,85,31,140
66,3297,312,191,31,140
67,3705,248,135,44,141
68,3495,262,142,75,141
69,3291,271,115,40,141
70,3707,294,133,45,141
71,3288,313,176,32,141
72,3676,250,140,45,142
73,3473,265,130,38,142
74,3268,272,111,40,142
75,3680,294,160,46,142
76,3569,301,85,33,142
77,3264,314,178,31,142
78,3649,253,135,44,143
79,3448,266,132,39,143
80,3244,272,112,39,143
81,3653,295,187,45,143
82,3542,304,81,31,143
83,3434,307,91,31,143
84,3240,315,171,31,143
85,3622,254,126,44,144
86,3422,268,128,37,144
87,3225,272,104,41,144
88,3711,297,111,43,144
89,3626,300,93,32,144
90,3216,306,178,41,144
91,3417,309,82,31,144
92,3594,256,134,43,145
